,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
0,2019-10-13_21-58-08,1,0012,3A[S],s,0.815,0.790,0.025,+3.16,1647,9,0.800,0.815,219,0.815,0.790
1,2019-10-13_21-58-08,2,7054,AASIA[S],s,-,0.110,-,-,-,350,0.110,0.120,1649,-,-
2,2019-10-13_21-58-08,3,5238,AAX[S],s,0.160,0.160,-,-,45454,79458,0.155,0.160,7390,0.165,0.155
3,2019-10-13_21-58-08,4,5238WA,AAX-WA[S],s,0.010,0.010,-,-,556,4629,0.010,0.015,108302,0.010,0.010
4,2019-10-13_21-58-08,5,7086,ABLEGRP[S],s,-,0.065,-,-,-,2948,0.060,0.070,1574,-,-
5,2019-10-13_21-58-08,6,2488,ABMB,s,2.700,2.630,0.070,+2.66,50488,96,2.690,2.700,705,2.740,2.570
6,2019-10-13_21-58-08,7,7131,ACME[S],s,-,0.240,-,-,-,201,0.210,0.280,70,-,-
7,2019-10-13_21-58-08,8,7120,ACOSTEC[S],s,0.400,0.400,-,-,2996,926,0.395,0.400,281,0.410,0.395
8,2019-10-13_21-58-08,9,5281,ADVCON[S],s,0.425,0.425,-,-,10386,341,0.420,0.425,529,0.435,0.420
9,2019-10-13_21-58-08,10,7191,ADVENTA[S],s,-,0.525,-,-,-,150,0.510,0.580,30,-,-
10,2019-10-13_21-58-08,11,9148,ADVPKG[S],s,2.080,2.080,-,-,20,20,2.070,2.130,100,2.080,2.080
11,2019-10-13_21-58-08,12,7146,AEM,s,0.100,0.100,-,-,2197,113,0.100,0.110,1140,0.115,0.100
12,2019-10-13_21-58-08,13,7146WA,AEM-WA,s,-,0.005,-,-,-,-,-,0.005,14141,-,-
13,2019-10-13_21-58-08,14,6599,AEON[S],s,1.520,1.520,-,-,6471,4,1.520,1.530,263,1.540,1.510
14,2019-10-13_21-58-08,15,5139,AEONCR,s,15.280,14.900,0.380,+2.55,1090,10,15.200,15.280,157,15.340,14.940
15,2019-10-13_21-58-08,16,5185,AFFIN,s,1.940,1.960,-0.020,-1.02,1560,231,1.940,1.960,36,1.960,1.940
16,2019-10-13_21-58-08,17,5198,AFUJIYA[S],s,-,0.550,-,-,-,50,0.510,0.530,50,-,-
17,2019-10-13_21-58-08,18,7315,AHB[S],s,0.120,0.120,-,-,800,3318,0.120,0.125,360,0.120,0.120
18,2019-10-13_21-58-08,19,7090,AHEALTH[S],s,2.250,2.170,0.080,+3.69,2008,32,2.250,2.260,108,2.250,2.180
19,2019-10-13_21-58-08,20,4952,AHP,s,-,0.775,-,-,-,50,0.775,0.800,87,-,-
20,2019-10-13_21-58-08,21,5099,AIRASIA,s,1.710,1.650,0.060,+3.64,71117,8134,1.710,1.720,940,1.730,1.670
21,2019-10-13_21-58-08,22,5014,AIRPORT,s,8.740,8.580,0.160,+1.86,16946,114,8.710,8.740,2678,8.760,8.600
22,2019-10-13_21-58-08,23,2682,AISB[S],s,-,0.220,-,-,-,88,0.220,0.245,140,-,-
23,2019-10-13_21-58-08,24,2658,AJI[S],s,16.020,16.280,-0.260,-1.60,332,6,16.020,16.080,10,16.240,16.000
24,2019-10-13_21-58-08,25,7609,AJIYA[S],s,0.405,0.410,-0.005,-1.22,703,897,0.405,0.420,50,0.410,0.405
25,2019-10-13_21-58-08,26,7609WA,AJIYA-WA[S],s,-,0.060,-,-,-,500,0.055,0.070,400,-,-
26,2019-10-13_21-58-08,27,5115,ALAM[S],s,0.090,0.090,-,-,6410,14284,0.090,0.095,47536,0.090,0.090
27,2019-10-13_21-58-08,28,5115WA,ALAM-WA[S],s,0.045,0.045,-,-,2767,43237,0.040,0.045,63421,0.045,0.040
28,2019-10-13_21-58-08,29,5116,ALAQAR[S],s,1.480,1.480,-,-,65,143,1.450,1.490,269,1.490,1.480
29,2019-10-13_21-58-08,30,2674,ALCOM[S],s,0.445,0.440,0.005,+1.14,140,117,0.445,0.470,60,0.465,0.445
30,2019-10-13_21-58-08,31,1163,ALLIANZ,s,13.960,14.000,-0.040,-0.29,73,14,13.900,14.160,12,14.160,13.880
31,2019-10-13_21-58-08,32,1163PA,ALLIANZ-PA,s,-,14.000,-,-,-,5,13.700,-,-,-,-
32,2019-10-13_21-58-08,33,5269,ALSREIT[S],s,-,0.870,-,-,-,40,0.860,0.890,40,-,-
33,2019-10-13_21-58-08,34,1015,AMBANK,s,3.850,3.830,0.020,+0.52,13611,815,3.840,3.850,3123,3.870,3.810
34,2019-10-13_21-58-08,35,0159,AMEDIA[S],Ss,-,0.135,-,-,-,-,-,-,-,-,-
35,2019-10-13_21-58-08,36,5120,AMFIRST,s,0.485,0.475,0.010,+2.11,3968,702,0.480,0.485,891,0.485,0.475
36,2019-10-13_21-58-08,37,1007,AMPROP[S],s,0.475,0.480,-0.005,-1.04,325,391,0.475,0.490,100,0.485,0.475
37,2019-10-13_21-58-08,38,1007PB,AMPROP-PB[S],s,0.435,0.425,0.010,+2.35,6,294,0.435,0.540,240,0.435,0.435
38,2019-10-13_21-58-08,39,7031,AMTEL,s,-,0.615,-,-,-,200,0.615,-,-,-,-
39,2019-10-13_21-58-08,40,5959,AMVERTON[S],s,1.120,1.030,0.090,+8.74,670,30,1.100,1.120,87,1.120,1.080
40,2019-10-13_21-58-08,41,6351,AMWAY[S],s,5.610,5.610,-,-,368,170,5.600,5.610,235,5.680,5.610
41,2019-10-13_21-58-08,42,7083,ANALABS[S],s,1.100,1.100,-,-,160,340,1.100,1.150,100,1.100,1.100
42,2019-10-13_21-58-08,43,4758,ANCOM[S],s,0.475,0.480,-0.005,-1.04,791,601,0.470,0.480,500,0.480,0.465
43,2019-10-13_21-58-08,44,6556,ANNJOO[S],s,1.160,1.170,-0.010,-0.85,9330,8,1.160,1.170,278,1.170,1.150
44,2019-10-13_21-58-08,45,6556PA,ANNJOO-PA,s,-,0.460,-,-,-,250,0.385,0.470,15,-,-
45,2019-10-13_21-58-08,46,9342,ANZO[S],s,0.025,0.025,-,-,240421,211350,0.020,0.025,11579,0.030,0.020
46,2019-10-13_21-58-08,47,9342WA,ANZO-WA[S],s,-,0.005,-,-,-,-,-,0.005,52296,-,-
47,2019-10-13_21-58-08,48,9342WB,ANZO-WB[S],s,0.015,0.015,-,-,2190,3160,0.015,0.020,800,0.020,0.015
48,2019-10-13_21-58-08,49,9342WC,ANZO-WC[S],s,-,0.005,-,-,-,-,-,0.005,193424,-,-
49,2019-10-13_21-58-08,50,5568,APB[S],s,0.480,0.500,-0.020,-4.00,10,10,0.480,0.500,350,0.480,0.480
50,2019-10-13_21-58-08,51,5088,APEX,s,-,0.800,-,-,-,1,0.805,0.845,12,-,-
51,2019-10-13_21-58-08,52,5194,APFT[S],s,0.005,0.005,-,-,20,527439,0.005,0.010,47255,0.005,0.005
52,2019-10-13_21-58-08,53,5015,APM[S],s,2.250,2.260,-0.010,-0.44,257,113,2.240,2.250,30,2.250,2.240
53,2019-10-13_21-58-08,54,6432,APOLLO[S],s,3.870,3.840,0.030,+0.78,80,10,3.830,3.880,10,3.870,3.850
54,2019-10-13_21-58-08,55,7214,ARANK[S],s,-,0.485,-,-,-,100,0.485,0.505,150,-,-
55,2019-10-13_21-58-08,56,7181,ARBB[S],s,0.315,0.310,0.005,+1.61,72252,1298,0.315,0.320,6000,0.330,0.310
56,2019-10-13_21-58-08,57,7181PA,ARBB-PA,s,0.115,0.115,-,-,47335,2763,0.115,0.120,8100,0.125,0.115
57,2019-10-13_21-58-08,58,7007,ARK[S],s,-,0.270,-,-,-,100,0.250,0.500,161,-,-
58,2019-10-13_21-58-08,59,7007WB,ARK-WB[S],s,-,0.090,-,-,-,644,0.030,0.390,1,-,-
59,2019-10-13_21-58-08,60,5210,ARMADA,s,0.385,0.365,0.020,+5.48,874117,96978,0.385,0.390,77771,0.385,0.365
60,2019-10-13_21-58-08,61,5127,ARREIT,s,0.765,0.765,-,-,799,153,0.765,0.770,152,0.765,0.760
61,2019-10-13_21-58-08,62,1481,ASB[S],s,0.130,0.130,-,-,3529,421,0.130,0.135,18306,0.130,0.130
62,2019-10-13_21-58-08,63,7722,ASIABRN[S],s,-,0.500,-,-,-,20,0.505,0.520,100,-,-
63,2019-10-13_21-58-08,64,7129,ASIAFLE[S],s,2.350,2.330,0.020,+0.86,98,2,2.350,2.370,10,2.350,2.350
64,2019-10-13_21-58-08,65,4057,ASIAPAC[S],s,0.120,0.115,0.005,+4.35,1500,2861,0.115,0.120,12663,0.120,0.115
65,2019-10-13_21-58-08,66,4057WB,ASIAPAC-WB[S],s,-,0.045,-,-,-,3322,0.035,0.045,879,-,-
66,2019-10-13_21-58-08,67,7162,ASTINO[S],s,0.690,0.650,0.040,+6.15,1780,10,0.685,0.690,83,0.690,0.660
67,2019-10-13_21-58-08,68,6399,ASTRO,s,1.380,1.350,0.030,+2.22,16295,80,1.370,1.380,230,1.380,1.330
68,2019-10-13_21-58-08,69,8176,ATAIMS[S],s,1.490,1.470,0.020,+1.36,10091,967,1.470,1.490,3,1.540,1.450
69,2019-10-13_21-58-08,70,7048,ATLAN,s,4.100,4.120,-0.020,-0.49,5,10,4.100,4.130,1,4.100,4.100
70,2019-10-13_21-58-08,71,5130,ATRIUM,s,1.030,1.030,-,-,657,848,1.030,1.040,587,1.040,1.030
71,2019-10-13_21-58-08,72,7099,ATTA[S],s,0.405,0.400,0.005,+1.25,491,9,0.405,0.415,13,0.405,0.405
72,2019-10-13_21-58-08,73,7099PA,ATTA-PA,s,-,0.090,-,-,-,1300,0.075,0.090,650,-,-
73,2019-10-13_21-58-08,74,7099WB,ATTA-WB[S],s,-,0.065,-,-,-,900,0.050,0.070,530,-,-
74,2019-10-13_21-58-08,75,7099WC,ATTA-WC[S],s,-,0.085,-,-,-,244,0.075,0.200,71,-,-
75,2019-10-13_21-58-08,76,8885,AVI[S],s,0.120,0.120,-,-,300,2220,0.120,0.125,2234,0.120,0.120
76,2019-10-13_21-58-08,77,7579,AWC[S],s,0.590,0.590,-,-,2930,674,0.590,0.595,438,0.600,0.585
77,2019-10-13_21-58-08,78,7579WA,AWC-WA[S],s,0.145,0.150,-0.005,-3.33,1322,1268,0.145,0.150,923,0.150,0.145
78,2019-10-13_21-58-08,79,6888,AXIATA[S],s,4.290,4.270,0.020,+0.47,89167,229,4.280,4.290,1500,4.290,4.260
79,2019-10-13_21-58-08,80,5106,AXREIT[S],s,1.840,1.810,0.030,+1.66,11528,2253,1.830,1.840,21710,1.840,1.810
80,2019-10-13_21-58-08,81,2305,AYER[S],s,4.000,4.020,-0.020,-0.50,80,2,4.000,4.100,5,4.000,4.000
81,2019-10-13_21-58-08,82,5021,AYS[S],s,-,0.300,-,-,-,500,0.290,0.300,1822,-,-
82,2019-10-13_21-58-08,83,7078,AZRB[S],s,0.370,0.365,0.005,+1.37,6698,1456,0.370,0.375,547,0.380,0.365
83,2019-10-13_21-58-08,84,7078WA,AZRB-WA[S],s,0.160,0.155,0.005,+3.23,30,400,0.155,0.170,50,0.160,0.160
84,2019-10-13_21-58-08,85,7251,BARAKAH[S],s,0.035,0.030,0.005,+16.67,24731,123831,0.030,0.035,193849,0.035,0.030
85,2019-10-13_21-58-08,86,4162,BAT,s,17.240,17.280,-0.040,-0.23,6172,66,17.240,17.280,10,17.440,17.220
86,2019-10-13_21-58-08,87,5248,BAUTO[S],s,2.190,2.200,-0.010,-0.45,18006,2646,2.190,2.200,93,2.240,2.190
87,2019-10-13_21-58-08,88,6602,BCB,s,-,0.245,-,-,-,300,0.235,0.250,40,-,-
88,2019-10-13_21-58-08,89,6173,BDB[S],s,0.340,0.350,-0.010,-2.86,1575,210,0.340,0.345,180,0.350,0.340
89,2019-10-13_21-58-08,90,5190,BENALEC,s,0.145,0.145,-,-,120,9007,0.140,0.145,510,0.145,0.140
