,Date Announced,Category ,Stock Name,Company Name,Shareholder Name,Class,Indirect/deemed interest (%),Indirect/deemed interest (units),Direct (%),Direct (units),Post No. of Securities
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, DATIN LIEW MOI FAH, Ordinary Shares,42.97,"110,769,520",0.115,"296,000","111,065,520"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, MADAM KHO POH JOO, Ordinary Shares,42.97,"110,769,520",0.069,"178,980","110,948,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, MADAM KHO POH LIN, Ordinary Shares,42.97,"110,769,520",0.236,"608,500","111,378,020"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, KHO KAK BENG HOLDING COMPANY SDN. BHD., Ordinary Shares,0,0,42.97,"110,769,520","110,769,520"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, MR KHO POK TONG, Ordinary Shares,42.97,"110,769,520",0.289,"744,600","111,514,120"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KKB, KKB ENGINEERING BERHAD, DATO KHO KAK BENG, Ordinary Shares,42.97,"110,769,520",1.84,"4,742,480","115,512,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, ORIENT, ORIENTAL HOLDINGS BERHAD, STANDARD LIFE ABERDEEN PLC AND ITS SUBSIDIARIES, ORDINARY STOCKS,5.553,"34,448,700",0,0,"34,448,700"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, ORIENT, ORIENTAL HOLDINGS BERHAD, ABERDEEN ASSET MANAGEMENT PLC, ORDINARY STOCKS,5.553,"34,448,700",0,0,"34,448,700"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MPI, MALAYSIAN PACIFIC INDUSTRIES BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary shares,,,,,"11,927,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PWROOT, POWER ROOT BERHAD, DATO' LOW CHEE YEN, Ordinary Shares,1.6,"6,468,000",11.895,"48,082,016","54,550,016"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, DATIN SRI LIM YOOK LAN, Ordinary Shares,7.757,"22,556,804",0,0,"22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, DATO' LIEW YET LEE, Ordinary Shares,7.757,"22,556,754",0,50,"22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, MEILEELANUSA SDN. BHD., Ordinary Shares,0,0,7.356,"21,388,923","21,388,923"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, DATO' SRI LIEW YEW CHUNG, Ordinary Shares,7.356,"21,389,323",0.401,"1,167,481","22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, DATO' SRI LIEW KUEK HIN, Ordinary Shares,7.757,"22,556,492",0,312,"22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, MISS LIEW YET MEI, Ordinary Shares,7.757,"22,556,804",0,0,"22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, LONBISC, LONDON BISCUITS BERHAD, DATO' LIEW YEW CHENG, Ordinary Shares,7.757,"22,556,766",0,38,"22,556,804"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PCHEM, PETRONAS CHEMICALS GROUP BERHAD," AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA (""ASB"")", ORDINARY SHARES,,,5.343,"427,422,600","427,422,600"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, FGV, FGV HOLDINGS BERHAD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN), Ordinary Shares,,,5.601,"204,335,000","204,335,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, CARING, CARING PHARMACY GROUP BERHAD, TAN SRI DATO' SERI VINCENT TAN CHEE YIOUN, Ordinary Shares,9.04,"19,681,780",0.55,"1,200,000","20,881,780"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, AXREIT, AXIS REAL ESTATE INVESTMENT TRUST, EMPLOYEES PROVIDENT FUND BOARD, Units,,,,,"189,424,288"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KLK, KUALA LUMPUR KEPONG BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,0,0,14.722,"156,784,488","156,784,488"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, HLBANK, HONG LEONG BANK BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,12.22,"254,984,421","254,984,421"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, NESTLE, NESTLE (MALAYSIA) BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARES,0,0,7.246,"16,990,900","16,990,900"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, DIALOG, DIALOG GROUP BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,8.19,"461,721,516","461,721,516"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KLCC, KLCC REAL ESTATE INVESTMENT TRUST, EMPLOYEES PROVIDENT FUND BOARD, STAPLED SECURITIES COMPRISING UNITS IN KLCC REAL ESTATE INVESTMENT TRUST STAPLED TOGETHER WITH ORDINARY SHARES IN KLCC PROPERTY HOLDINGS BERHAD,,,5.44,"98,218,230","98,218,230"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KLCC, KLCC PROPERTY HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, STAPLED SECURITIES COMPRISING ORDINARY SHARES IN KLCC PROPERTY HOLDINGS BERHAD STAPLED TOGETHER WITH UNITS IN KLCC REAL ESTATE INVESTMENT TRUST,,,5.44,"98,218,230","98,218,230"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MAYBANK, MALAYAN BANKING BERHAD, PERMODALAN NASIONAL BERHAD, ORDINARY SHARES,,,7.814,"878,448,279","878,448,279"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MAYBANK, MALAYAN BANKING BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARES,,,12.539,"1,409,548,191","1,409,548,191"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, MAYBANK, MALAYAN BANKING BERHAD, YAYASAN PELABURAN BUMIPUTRA (''YPB''), ORDINARY SHARES,7.814,"878,448,279",,,"878,448,279"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, HARTA, HARTALEGA HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARE,,,5.939,"199,644,395","199,644,395"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SPSETIA, S P SETIA BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,,,12.082,"488,425,066","488,425,066"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SPSETIA, S P SETIA BERHAD, KUMPULAN WANG PERSARAAN (DIPERBADANKAN), Ordinary Shares,0.722,"29,183,553",7.261,"293,531,763","322,715,316"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PETGAS, PETRONAS GAS BERHAD," EMPLOYEES PROVIDENT FUND BOARD (""EPF BOARD"")", ORDINARY SHARES,,,9.227,"182,578,000","182,578,000"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, PETDAG, PETRONAS DAGANGAN BHD," EMPLOYEES PROVIDENT FUND BOARD (""EPF BOARD"")", ORDINARY SHARES,,,6.587,"65,436,011","65,436,011"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SERBADK, SERBA DINAMIK HOLDINGS BERHAD, KUMPULAN WANG PERSARAAN, Ordinary shares,1.175,"17,254,200",6.27,"92,069,300","109,323,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SERBADK, SERBA DINAMIK HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares.,,,6.343,"93,143,700","93,143,700"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, YINSON, YINSON HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Share,0,0,11.728,"126,739,500","126,739,500"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, KOSSAN, KOSSAN RUBBER INDUSTRIES BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARES,,,5.86,"74,993,200","74,993,200"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, SIMEPLT, SIME DARBY PLANTATION BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,1.708,"117,602,559",13.138,"904,464,015","1,022,066,574"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, VELESTO, VELESTO ENERGY BERHAD, AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA, Ordinary Shares,,,36.708,"3,015,742,602","3,015,742,602"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, BIMB, BIMB HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, ORDINARY SHARE,,,12.407,"218,888,701","218,888,701"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TIMECOM, TIME DOTCOM BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary shares,,,10.123,"59,270,800","59,270,800"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, HSBC INTERNATIONAL TRUSTEE (HOLDINGS) PTE. LTD., Ordinary Shares,9.537,"65,014,174",0,0,"65,014,174"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, HSBC ASIA HOLDINGS LIMITED, Ordinary Shares,9.537,"65,014,174",0,0,"65,014,174"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, Ordinary Shares,9.537,"65,014,174",0,0,"65,014,174"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, HSBC HOLDINGS PLC, Ordinary Shares,9.537,"65,014,174",0,0,"65,014,174"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, IGBB, IGB BERHAD, HSBC INTERNATIONAL TRUSTEE LIMITED, Ordinary Shares,9.537,"65,014,174",0,0,"65,014,174"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, WPRTS, WESTPORTS HOLDINGS BERHAD, EMPLOYEES PROVIDENT FUND BOARD, Ordinary Shares,0,0,5.148,"175,563,400","175,563,400"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TAANN, TA ANN HOLDINGS BERHAD, DATO WONG KUO HEA, Ordinary Shares,30.568,"134,641,797",2.897,"12,760,263","147,402,060"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, COMFORT, COMFORT GLOVES BERHAD, DATO LAU ENG GUANG, Ordinary Shares,15.068,"87,838,000",7.668,"44,698,200","132,536,200"
0, 15 Oct 2019, Change in the Interest of Substantial Shareholder Pursuant to Section 138 of CA 2016, TAANN, TA ANN HOLDINGS BERHAD, DATUK WAHAB BIN HAJI DOLAH, Ordinary Shares,3.429,"15,105,417",9.432,"41,544,766","56,650,183"
